%utility_total,kWpT_T
0.300423988,1.124808091
0.360508785,1.498050045
0.231755648,2.437848916
0.27467336,1.911744081
0.44634421,1.013568824
0.369092328,1.622716052
0.369092328,1.552592581
0.420593583,1.339705371
0.360508785,1.404296732
0.3433417,1.237163654
0.27467336,1.269058784
0.317591073,1.494820906
0.369092328,1.749056155
0.369092328,1.846616171
0.420593583,1.750337643
0.454927753,1.595039796
0.360508785,1.706575755
0.3433417,1.780400757
0.37767587,1.327242851
0.326174615,1.3489008
0.41201004,1.02520515
0.429177125,1.003190858
0.41201004,1.062263047
0.394842955,1.076124987
0.360508785,1.488180006
0.369092328,1.301468056
0.489261923,0.901809964
0.41201004,1.063698909
0.420593583,1.043128425
0.369092328,1.185782006
0.41201004,1.038888066
0.326174615,1.298169988
0.326174615,1.076922838
0.291840445,1.224755127
0.326174615,1.120665493
0.30900753,1.449938628
0.326174615,1.332870717
0.291840445,1.501692577
0.291840445,1.501692577
0.291840445,1.54974674
0.27467336,1.595548363
0.30900753,1.111919926
0.326174615,1.085644697
0.30900753,1.073517668
0.30900753,1.355453307
0.30900753,1.339011285
0.30900753,1.339011285
0.30900753,1.174534751
0.326174615,1.115384368
0.27467336,1.650058313
0.27467336,1.65411251
0.30900753,1.170255321
0.30900753,1.139989612
0.30900753,1.113552867
0.30900753,1.110850068
0.403426498,0.835854726
0.351925243,0.977753736
0.360508785,0.979088655
0.317591073,1.066966122
0.351925243,1.263846576
0.386259413,1.188352807
0.420593583,0.873389939
0.326174615,1.099114234
0.334758158,1.050582866
0.37767587,0.916110385
0.37767587,0.91387597
0.360508785,1.200114806
0.41201004,1.10329068
0.420593583,1.060937935
0.420593583,1.064433646
0.41201004,1.01658998
0.334758158,1.32216211
0.334758158,1.481081448
0.369092328,1.349670576
0.37767587,1.246919066
0.37767587,1.114443561
0.369092328,0.959076949
0.351925243,1.036168787
0.360508785,0.950371424
0.317591073,1.100659789
0.351925243,1.010755892
0.3433417,1.041041858
0.30900753,1.148351394
0.351925243,1.23840896
0.386259413,1.219209754
0.369092328,1.343306429
0.369092328,1.282352044
0.37767587,0.925877315
0.386259413,0.923591198
0.386259413,0.935033044
0.3433417,1.221200252
0.437760668,0.969628861
0.429177125,1.023846994
0.41201004,0.862910563
0.48067838,0.699801517
0.334758158,1.346617236
0.41201004,1.105444472
0.403426498,1.395722125
0.394842955,1.14222603
0.386259413,1.166392572
0.41201004,1.051050658
0.420593583,0.822629734
0.317591073,1.334597932
0.394842955,1.100317969
0.3433417,1.29764721
0.334758158,1.217922459
0.326174615,1.616771219
0.403426498,1.302173678
0.403426498,1.306831692
0.41201004,1.297702111
0.41201004,1.250909917
0.437760668,0.985925145
0.351925243,0.978347034
0.386259413,1.135850952
0.403426498,1.014282538
0.429177125,0.979372449
0.429177125,0.785703442
0.351925243,1.226394692
0.429177125,0.99583249
0.394842955,1.112700898
0.386259413,1.170919759
0.386259413,1.494219472
0.403426498,1.062889777
0.394842955,1.091372294
0.454927753,0.772439333
0.429177125,1.21875253
0.403426498,1.076044353
