%utility_1 ,kWpT_1
0.17167085,1.874255425
0.360508785,1.949875859
0.223172105,3.322258781
0.30900753,2.212803426
0.27467336,1.263325896
0.3433417,2.439815953
0.3433417,2.32244694
0.37767587,2.079434667
0.429177125,1.832497193
0.3433417,1.539328049
0.17167085,1.957873245
0.360508785,1.942877542
0.3433417,2.354475099
0.326174615,2.637682121
0.326174615,2.738076849
0.41201004,2.150709452
0.3433417,2.493331358
0.37767587,2.250079518
0.37767587,1.712345527
0.37767587,1.708107048
0.291840445,1.191934015
0.30900753,1.151504658
0.30900753,1.174534751
0.30900753,1.122956352
0.360508785,1.026484152
0.27467336,1.424987015
0.48067838,0.725447935
0.291840445,1.249408224
0.326174615,1.115437713
0.291840445,1.243625031
0.291840445,1.222221254
0.326174615,1.52725881
0.326174615,1.076922838
0.291840445,1.237126391
0.326174615,1.131761191
0.30900753,1.693528318
0.326174615,1.547849865
0.291840445,1.75397693
0.291840445,1.681895686
0.291840445,1.826058174
0.27467336,1.863600488
0.30900753,1.111919926
0.326174615,1.074895739
0.30900753,1.038888066
0.30900753,1.608164941
0.30900753,1.546788898
0.30900753,1.569875299
0.30900753,1.151504658
0.326174615,1.082897445
0.27467336,1.933662086
0.27467336,1.938413098
0.30900753,1.145873829
0.30900753,1.128474565
0.30900753,1.113552867
0.30900753,1.110850068
0.497845465,0.670200759
0.41201004,0.83516465
0.41201004,0.839218847
0.326174615,1.006081074
0.37767587,1.375524655
0.463511295,1.151504658
0.532179635,0.676985564
0.360508785,0.98459078
0.360508785,0.976723707
0.44634421,0.767178879
0.429177125,0.79592002
0.41201004,1.249706327
0.532179635,1.011326063
0.532179635,0.954371129
0.532179635,1.017636225
0.54934672,0.878747271
0.291840445,1.722855003
0.394842955,1.499612338
